cellSize_km,cellSize_m,cellArea,level,digits_base4,digits_base16,digits_base32,Notes
512,512000,262144000000,0,0,0,0,Quadrantes de cobertura
256,256000,65536000000,1,1,,,Um quarto de quadrante
128,128000,16384000000,2,2,1,,
,,8192000000,2.5,,,1,
64,64000,4096000000,3,3,,,
32,32000,1024000000,4,4,2,,
16,16000,256000000,5,5,,2,
8,8000,64000000,6,6,3,,
4,4000,16000000,7,7,,,
2,2000,4000000,8,8,4,,
1,1000,1000000,9,9,,,Ref. IBGE
"0,5",500,250000,10,10,5,4,Comum todas as bases
"0,25",250,62500,11,11,,,
"0,125",125,15625,12,12,6,,
,,"7812,5",12.5,,,5,
"0,063","62,5","3906,250",13,13,,,
"0,031","31,3","976,563",14,14,7,,
"0,016","15,6","244,141",15,15,,6,CEP Rural
"0,008","7,8","61,035",16,16,8,,
"0,004","3,9","15,259",17,17,,,
,,"7,629",17.5,,,7,CEP Urbano
"0,002","2,0","3,815",18,18,9,,Notação científica
"0,001","1,0","0,954",19,19,,,
"0,000","0,5","0,238",20,20,10,8,Comum todas as bases
